PantoneTC,NodeName,Pantone,RGBTriple,Description,QUESTColor,QUESTCode
"079","079 VERDE MENTA","VERDE MENTA","(154,215,86)","VERDE MENTA","VERDE MENTA","079"
"080","080 PALO DE ROSA","PALO DE ROSA","(221,150,156)","PALO DE ROSA","PALO DE ROSA","080"
"081","081 GRIS JASPE OSCURO","GRIS JASPE OSCURO","(130,130,130)","GRIS JASPE OSCURO","GRIS JASPE OSCURO","081"
"082","082 MELON","MELON","(253,188,180)","MELON","MELON","082"
"083","083 AZUL NOCHE","AZUL NOCHE","(37,40,80)","AZUL NOCHE","AZUL NOCHE","083"
"084","084 AZUL OSC RESINADO","AZUL OSC RESINADO","(5,11,51)","AZUL OSC RESINADO","AZUL OSC RESINADO","084"
"085","085 AZUL LAVANDA","AZUL LAVANDA","(130,163,252)","AZUL LAVANDA","AZUL LAVANDA","085"
"086","086 GRIS JASPET MEDIO","GRIS JASPET MEDIO","(180,179,179)","GRIS JASPET MEDIO","GRIS JASPET MEDIO","086"
"087","087 CRUDO","CRUDO","(194,178,128)","CRUDO","CRUDO","087"
"088","088 NARANJA OSCURO","NARANJA OSCURO","(230,63,14)","NARANJA OSCURO","NARANJA OSCURO","088"
"092","092 MIEL","MIEL","(218,179,10)","MIEL","MIEL","092"
"093","093 AZUL COBALTO","AZUL COBALTO","(51,60,135)","AZUL COBALTO","AZUL COBALTO","093"
"094","094 AZUL MEDIO MEDIO","AZUL MEDIO MEDIO","(0,0,205)","AZUL MEDIO MEDIO","AZUL MEDIO MEDIO","094"
"095","095 AZUL MEDIO CLARO","AZUL MEDIO CLARO","(0,0,200)","AZUL MEDIO CLARO","AZUL MEDIO CLARO","095"
"096","096 BLANCO GRIS","BLANCO GRIS","(248,248,248)","BLANCO GRIS","BLANCO GRIS","096"
"097","097 BLANCO AMARILLO","BLANCO AMARILLO","(255,255,244)","BLANCO AMARILLO","BLANCO AMARILLO","097"
"098","098 BLANCO NARANJA","BLANCO NARANJA","(255,240,223)","BLANCO NARANJA","BLANCO NARANJA","098"
"099","099 VERDE BOTELLA ","VERDE BOTELLA","(52,59,41)","VERDE BOTELLA","VERDE BOTELLA","099"
"100","100 LATON PAVON","LATON PAVON","(169,153,77)","LATON PAVON","LATON PAVON","100"
"105","105 NIQUEL","NIQUEL","(237,232,232)","NIQUEL","NIQUEL","105"
"106","106 GALVANIZADO"," GALVANIZADO","(247,241,241)"," GALVANIZADO"," GALVANIZADO","106"
"107","107 COBRE PAVON","COBRE PAVON","(190,89,31)","COBRE PAVON","COBRE PAVON","107"
"108","108 GALVANIZADO NEGRO","GALVANIZADO NEGRO","(71,70,69)","GALVANIZADO NEGRO","GALVANIZADO NEGRO","108"
